margin,unassigned_share,A,B,C,D,E,F,tvd
0.0,0.0,0.013468013468013467,0.3367003367003367,0.3400673400673401,0.24579124579124578,0.037037037037037035,0.026936026936026935,0.4225589225589226
0.002,0.12794612794612795,0.011583011583011582,0.33976833976833976,0.32432432432432434,0.25868725868725867,0.03474903474903475,0.03088803088803089,0.42277992277992277
0.005,0.2895622895622896,0.009478672985781991,0.36492890995260663,0.3127962085308057,0.25118483412322273,0.023696682464454975,0.037914691943127965,0.42890995260663506
0.01,0.494949494949495,0.006666666666666667,0.37333333333333335,0.2866666666666667,0.26666666666666666,0.03333333333333333,0.03333333333333333,0.42666666666666664
0.02,0.8215488215488216,0.0,0.4716981132075472,0.22641509433962265,0.24528301886792453,0.0,0.05660377358490566,0.4433962264150943
