,A,B,C,D,E,F,tvd,n_paragraphs,unassigned_share
deepseek/deepseek-v4-pro-0813,0.009433962264150943,0.3018867924528302,0.3584905660377358,0.24528301886792453,0.07547169811320754,0.009433962264150943,0.40566037735849053,106.0,0.0
moonshotai/kimi-k3,0.00980392156862745,0.30392156862745096,0.4117647058823529,0.18627450980392157,0.0196078431372549,0.06862745098039216,0.40196078431372545,102.0,0.0
z-ai/glm-5.2,0.02247191011235955,0.4157303370786517,0.23595505617977527,0.3146067415730337,0.011235955056179775,0.0,0.46629213483146065,89.0,0.0
